vxy_mean vxy_std vyx_mean vyx_std e1max_mean e1max_std
0.41100000 0.02700000 0.40530000 0.03420000 1.64490000 0.00540000
0.41890000 0.02570000 0.40950000 0.03980000 1.67150000 0.00410000
0.41700000 0.02610000 0.40960000 0.03500000 1.69760000 0.00480000
0.40860000 0.02400000 0.39580000 0.03240000 1.49820000 0.00380000
0.40210000 0.02570000 0.40420000 0.03520000 1.48070000 0.00400000
0.42240000 0.02710000 0.41210000 0.03360000 1.49810000 0.00380000
0.41220000 0.02640000 0.41030000 0.03670000 1.55810000 0.00510000
0.40520000 0.02310000 0.40280000 0.03460000 1.42940000 0.00460000
0.41200000 0.02550000 0.41250000 0.03620000 1.56780000 0.00410000
0.41180000 0.02090000 0.41680000 0.03190000 1.43230000 0.00330000
0.39420000 0.02600000 0.39930000 0.03590000 1.60320000 0.00550000
0.40820000 0.02670000 0.41870000 0.03480000 1.57270000 0.00440000
0.40480000 0.02400000 0.41200000 0.03060000 1.53470000 0.00380000
0.41450000 0.02460000 0.40470000 0.02910000 1.83300000 0.00510000
0.40130000 0.02640000 0.40130000 0.02640000 1.53820000 0.00500000
0.41200000 0.02600000 0.41980000 0.03670000 1.51460000 0.00370000
0.40650000 0.02390000 0.40560000 0.03410000 1.56250000 0.00540000
0.40340000 0.02500000 0.39630000 0.03410000 1.52270000 0.00490000
0.41020000 0.02690000 0.40760000 0.03150000 1.62130000 0.00400000
0.40710000 0.02830000 0.40700000 0.03610000 1.43160000 0.00350000
0.41250000 0.02540000 0.41720000 0.03460000 1.68890000 0.00450000
0.40550000 0.02170000 0.40630000 0.03390000 1.45500000 0.00390000
0.41710000 0.02540000 0.41910000 0.03280000 1.58790000 0.00450000
0.40680000 0.02460000 0.41170000 0.03760000 1.59660000 0.00490000
0.40840000 0.02640000 0.41590000 0.03460000 1.75040000 0.00360000
0.42270000 0.02510000 0.41440000 0.03660000 1.49240000 0.00390000
0.40580000 0.02350000 0.39930000 0.03360000 1.52570000 0.00400000
0.40840000 0.02760000 0.41400000 0.03480000 1.46610000 0.00360000
0.42420000 0.02450000 0.40150000 0.03560000 1.52730000 0.00420000
