Ex_mean Ex_std Ey_mean Ey_std lossx_mean lossx_std lossy_mean lossy_std
0.52012906 0.00733224 0.53075578 0.00838067 0.08071346 0.00095063 0.08181064 0.00100235
0.52272357 0.00662993 0.53473253 0.00612472 0.08018569 0.00110496 0.08257424 0.00091951
0.52861795 0.00863490 0.52717925 0.00727804 0.08245565 0.00100631 0.08405005 0.00086077
0.52389614 0.00862707 0.52871548 0.00725626 0.08006378 0.00085049 0.07812382 0.00071690
0.51852268 0.00612564 0.52717775 0.00964044 0.07914989 0.00120501 0.07827934 0.00107318
0.52647037 0.00545585 0.53085287 0.00782830 0.08255835 0.00085122 0.07688719 0.00098367
0.52227626 0.00552110 0.52859893 0.00837256 0.08548761 0.00086706 0.07876011 0.00093821
0.52460607 0.00749055 0.52610654 0.00585379 0.07952941 0.00126039 0.08230484 0.00123208
0.53350041 0.00900499 0.54269313 0.00897840 0.08359588 0.00091515 0.08054883 0.00101405
0.52437062 0.01011441 0.52733952 0.00686581 0.08222892 0.00084649 0.08319498 0.00130012
0.52991379 0.00616984 0.53306969 0.00697451 0.08137829 0.00099900 0.08280052 0.00087501
0.53220091 0.00611728 0.52496033 0.00512998 0.08030776 0.00133427 0.08064141 0.00112467
0.53080837 0.00710618 0.53650618 0.00723799 0.07842226 0.00115359 0.07848643 0.00100237
0.52594387 0.00925199 0.52827521 0.00879539 0.08096519 0.00104937 0.08040022 0.00133100
0.52254483 0.00577336 0.52254483 0.00577336 0.07888726 0.00068451 0.07888726 0.00068451
0.51637940 0.00663124 0.52556979 0.00674854 0.08053113 0.00115365 0.07894524 0.00073665
0.53017606 0.00678431 0.52871817 0.00742216 0.07800798 0.00091695 0.08122543 0.00103028
0.53487013 0.00789711 0.53401937 0.00854677 0.08034488 0.00097387 0.07985889 0.00106851
0.52264394 0.00468024 0.53133867 0.01017007 0.07973511 0.00086148 0.08215843 0.00094138
0.52846234 0.00715987 0.53078136 0.00754525 0.07882972 0.00100161 0.08074838 0.00100306
0.52847924 0.00618070 0.53601663 0.00434769 0.08104780 0.00107013 0.08309503 0.00112277
0.53339049 0.00914966 0.53696799 0.00819658 0.08020900 0.00093175 0.08091818 0.00114366
0.52822639 0.00934279 0.52846866 0.00805679 0.08257528 0.00114151 0.08057417 0.00085130
0.52850495 0.00887841 0.52915317 0.00801579 0.08050699 0.00129349 0.07989896 0.00106807
0.52947681 0.00722256 0.52572489 0.00809676 0.08225952 0.00114378 0.08207381 0.00106559
0.52041921 0.00672435 0.52418276 0.00717770 0.07795079 0.00125576 0.08090027 0.00088870
0.52568090 0.00615746 0.52391430 0.00701313 0.08179254 0.00120484 0.08058572 0.00087389
0.52260567 0.00654175 0.52989159 0.00608603 0.08225415 0.00097273 0.07875501 0.00098014
0.52785897 0.00810700 0.53084692 0.00992068 0.08416244 0.00088934 0.08179588 0.00096259
0.53141599 0.00688405 0.52775545 0.00665048 0.08062461 0.00112113 0.07820521 0.00079583
0.53071702 0.00769799 0.53009354 0.00832695 0.07952033 0.00140958 0.07891694 0.00132927
0.52556693 0.00724327 0.52908854 0.00733481 0.08288064 0.00120294 0.07827495 0.00108367
0.52751232 0.00796324 0.52643042 0.00674276 0.08409243 0.00122490 0.07816676 0.00120875
0.53724217 0.00842363 0.52503683 0.00790685 0.08178944 0.00096136 0.08086117 0.00100310
0.52792202 0.00780559 0.52452427 0.00686748 0.08140423 0.00095560 0.07973772 0.00121115
0.53121188 0.00895583 0.52931724 0.00564659 0.07932762 0.00113534 0.08090793 0.00117811
0.52028196 0.00938754 0.52934711 0.00714597 0.07906216 0.00136212 0.08354920 0.00078728
0.53437735 0.00771335 0.52207157 0.00958940 0.07925084 0.00110786 0.07741535 0.00123813
0.52868626 0.00866097 0.52688238 0.00916981 0.08194234 0.00098129 0.08111092 0.00131911
0.53342684 0.00666348 0.53736009 0.00903111 0.07929615 0.00093752 0.08295601 0.00112182
0.52850839 0.00799830 0.53273449 0.00755275 0.07683420 0.00101066 0.08240691 0.00108417
0.52753482 0.00815782 0.51918233 0.00850824 0.08085108 0.00092165 0.08100848 0.00101007
0.52710263 0.00634970 0.52779297 0.00922030 0.07759766 0.00090215 0.07833385 0.00099884
0.52520448 0.00692990 0.52592474 0.00804605 0.08063534 0.00117957 0.08123273 0.00090429
0.52576663 0.00734149 0.52813898 0.00691607 0.08238962 0.00092160 0.08136953 0.00088975
0.53001992 0.00985456 0.53657940 0.00711113 0.08054076 0.00112112 0.08118910 0.00065150
0.52745813 0.00789907 0.52977089 0.00976403 0.08254921 0.00106876 0.08224723 0.00143739
0.53147132 0.00842736 0.53258530 0.00899961 0.08317201 0.00090741 0.08206731 0.00077006
0.52887798 0.00889289 0.53100810 0.00746407 0.08284796 0.00105707 0.08008893 0.00118151
0.52887914 0.00672713 0.51784628 0.00726352 0.07931747 0.00098624 0.07663442 0.00100016
0.53445486 0.00702663 0.53339714 0.00889225 0.08048892 0.00104951 0.08058756 0.00102597
0.52495059 0.00628418 0.52777694 0.00746705 0.07708179 0.00103453 0.08046058 0.00102397
0.53051045 0.00812744 0.52663064 0.00858828 0.08212692 0.00103728 0.08183530 0.00124261
0.52773129 0.00805317 0.53272094 0.00792618 0.08155531 0.00103637 0.08050355 0.00105112
0.53300835 0.00712848 0.51096220 0.00714698 0.07657037 0.00113909 0.08435544 0.00107637
0.53339749 0.00657732 0.52695228 0.00814587 0.08266388 0.00104988 0.08025578 0.00113058
0.52994218 0.00672408 0.53142724 0.00646410 0.08256044 0.00104063 0.08115374 0.00099304
0.54341315 0.00879748 0.53670457 0.00555674 0.08038819 0.00097129 0.08402808 0.00103182
0.53725194 0.00712697 0.53074587 0.00792209 0.07971295 0.00093868 0.08241902 0.00139030
0.53608347 0.00760708 0.52713856 0.00692817 0.07958408 0.00097284 0.07982422 0.00112950
0.53612710 0.00898615 0.53620020 0.00723642 0.08381585 0.00107272 0.07917168 0.00106750
0.54097503 0.00731913 0.52998425 0.00644772 0.08097058 0.00121654 0.07900040 0.00120716
0.53669080 0.00522844 0.53747847 0.00650074 0.08323222 0.00113801 0.08174330 0.00072837
0.54227088 0.00624778 0.53570679 0.00942153 0.07994947 0.00104075 0.08083571 0.00125275
0.51690107 0.00919932 0.52859835 0.01047483 0.07561850 0.00086764 0.08226590 0.00100027
0.54411313 0.00709436 0.53355068 0.00642637 0.08003207 0.00088868 0.07881038 0.00065450
0.52637207 0.00599012 0.53425078 0.00614662 0.08150604 0.00105658 0.08076579 0.00114882
0.54127361 0.00800464 0.53853912 0.00765433 0.07925475 0.00067923 0.08145946 0.00093659
0.53492544 0.00704092 0.53636180 0.00558645 0.08061374 0.00094961 0.08067033 0.00096621
0.54026703 0.00796099 0.53863738 0.00808522 0.07926601 0.00092912 0.07967063 0.00114447
0.52643678 0.00941953 0.53862018 0.00747086 0.08365689 0.00098051 0.08179578 0.00098944
0.53867987 0.00593837 0.54234091 0.00402980 0.08089330 0.00114544 0.08066138 0.00078997
0.53607582 0.00843199 0.54041959 0.00928766 0.07843894 0.00123572 0.07935704 0.00119700
0.52691241 0.00706369 0.54053008 0.00734087 0.07863770 0.00110712 0.08419160 0.00090641
0.53799303 0.00676604 0.53897064 0.00878553 0.07960180 0.00094267 0.07991049 0.00104022
0.53258346 0.00699013 0.54014812 0.00782534 0.07790953 0.00113266 0.08234166 0.00055847
0.54355271 0.00781600 0.52912208 0.00749225 0.07707202 0.00123541 0.08311017 0.00121427
0.53920142 0.00699931 0.53610118 0.00803952 0.08240178 0.00108580 0.08184157 0.00128526
0.53222469 0.01153821 0.53139602 0.00714261 0.08065490 0.00097906 0.08065484 0.00097099
0.52520875 0.00654331 0.53179704 0.00724561 0.08012129 0.00096339 0.08055979 0.00103428
0.53351692 0.00926228 0.53588202 0.00975220 0.07971975 0.00136763 0.07842352 0.00097155
0.53566261 0.00968374 0.54834959 0.00608161 0.08335451 0.00130619 0.08256610 0.00099494
0.52617926 0.00659073 0.52786047 0.00672893 0.08091859 0.00090513 0.08352595 0.00118413
0.53342675 0.00763166 0.54236275 0.00586265 0.08267023 0.00099031 0.07902408 0.00108025
0.53666914 0.00708073 0.53308759 0.00762843 0.07896833 0.00114356 0.07791819 0.00116878
0.54078449 0.00763514 0.52143712 0.00702429 0.08003632 0.00109791 0.07911368 0.00093434
0.53335726 0.00752495 0.54159662 0.00759835 0.07699891 0.00092453 0.08004618 0.00092423
0.53619163 0.00645139 0.53760571 0.00708992 0.08063256 0.00088361 0.07637998 0.00089052
0.53859190 0.00679933 0.53405659 0.00725498 0.08124828 0.00105523 0.08186034 0.00088976
0.53463502 0.00849454 0.54240287 0.00852832 0.08022142 0.00084034 0.08359201 0.00138299
0.53558272 0.00600639 0.54127186 0.00713730 0.07976167 0.00087481 0.07967645 0.00099283
0.54263168 0.00636276 0.53229913 0.00616646 0.07918512 0.00121052 0.08161698 0.00118218
0.53080358 0.00733440 0.53310119 0.00792404 0.08228998 0.00128017 0.08386694 0.00091104
0.53610668 0.00902116 0.53518776 0.00791498 0.07956728 0.00090257 0.08230116 0.00107429
0.53601618 0.00727270 0.53318398 0.00782723 0.07851380 0.00099914 0.08273338 0.00107931
0.53782705 0.00712567 0.53265228 0.00850323 0.08173025 0.00097381 0.08548632 0.00129317
0.54217481 0.00620543 0.53298885 0.00716046 0.08066870 0.00077248 0.08161506 0.00099469
0.53163725 0.00800721 0.53669544 0.00636301 0.07983487 0.00126588 0.07971848 0.00097099
0.52811346 0.00647333 0.52968100 0.00702319 0.07960817 0.00118848 0.08330284 0.00094407
0.54169461 0.00907951 0.53709105 0.00684306 0.08360488 0.00087446 0.08472684 0.00061577
0.54014655 0.00730839 0.54024741 0.00650002 0.08317333 0.00085477 0.08348909 0.00087949
0.54265984 0.00808300 0.52628885 0.00697575 0.07745068 0.00089267 0.07504823 0.00125250
0.53766856 0.00714580 0.53519160 0.00784192 0.08207867 0.00112638 0.07920005 0.00097711
0.54424267 0.00877135 0.53852161 0.01000595 0.08019203 0.00107892 0.08018915 0.00098543
0.54885913 0.00885252 0.53922070 0.00931224 0.08386815 0.00094560 0.07831734 0.00102971
0.54144385 0.00797337 0.52830567 0.00824230 0.08207490 0.00097305 0.07997184 0.00114406
0.54352726 0.01015056 0.53508462 0.00883264 0.08225296 0.00094664 0.08385069 0.00068827
0.53706547 0.00654317 0.54243292 0.00771693 0.07971037 0.00101918 0.07945969 0.00107055
0.54509508 0.00698482 0.53325959 0.00811143 0.07733024 0.00097978 0.08125028 0.00105759
0.54515383 0.00922306 0.53358040 0.00787629 0.08160537 0.00083637 0.08190648 0.00077268
0.54535969 0.00649871 0.52717444 0.00718496 0.08117595 0.00107823 0.08010941 0.00080134
0.53907143 0.00910287 0.53158735 0.00830732 0.07962387 0.00091360 0.08374429 0.00103288
0.54132840 0.00750267 0.53596873 0.00779024 0.08052480 0.00089528 0.08488213 0.00115945
0.54053842 0.01006695 0.54203296 0.00711828 0.08064181 0.00108284 0.07822098 0.00130400
0.53959614 0.00674308 0.53232774 0.00597314 0.08025333 0.00091922 0.08100383 0.00081476
0.54083855 0.00940786 0.53439514 0.00832889 0.07545779 0.00081806 0.08502746 0.00117497
