yield_mean yield_std
2.46300000 0.00604979
3.20220000 0.00428486
3.16940000 0.00860465
2.88940000 0.00672607
3.76400000 0.00606630
2.70480000 0.00545527
3.60940000 0.00761840
2.95580000 0.00638436
2.46820000 0.00572364
3.34380000 0.00428486
3.45900000 0.00376829
2.99020000 0.00774338
2.74440000 0.00488262
5.03840000 0.00265330
3.82560000 0.00731027
2.26200000 0.00389872
3.24000000 0.00400000
4.43780000 0.00295973
3.80080000 0.00370945
2.79940000 0.00316860
2.42060000 0.00385227
3.72780000 0.00543691
4.43900000 0.00331662
2.34580000 0.00513420
3.09360000 0.00870862
2.98720000 0.00722219
2.52500000 0.00808703
3.53180000 0.00784602
3.81900000 0.00331662
3.70180000 0.00481248
2.51140000 0.00596992
2.84940000 0.00802745
3.56500000 0.00788670
3.82180000 0.00389358
3.07120000 0.00640000
2.48280000 0.00491528
2.70320000 0.00499600
2.53420000 0.00804736
3.83940000 0.00290517
2.50240000 0.00598665
2.93160000 0.00747262
3.13980000 0.00464327
3.70060000 0.00477912
2.24120000 0.00421426
3.70460000 0.00460869
2.95540000 0.00718610
2.94420000 0.00558211
4.47980000 0.00481248
2.48900000 0.00549545
2.86240000 0.00527636
3.62440000 0.00591946
3.39120000 0.00545527
3.29840000 0.00366606
2.27940000 0.00385227
3.70400000 0.00606630
3.72280000 0.00552811
3.44640000 0.00720000
3.86640000 0.00763151
3.74300000 0.00453872
4.12700000 0.00746994
3.06100000 0.00435890
3.29960000 0.00332265
2.56280000 0.00523068
3.66920000 0.00646220
3.14460000 0.00583438
4.36000000 0.00379473
4.57460000 0.00940425
3.00440000 0.00605310
3.44940000 0.00896883
3.30640000 0.00427083
4.40760000 0.00656049
3.72320000 0.00545527
4.34260000 0.00494368
2.34080000 0.00483322
4.24320000 0.00515364
4.18960000 0.00897998
2.88020000 0.00481248
4.50200000 0.00428952
4.89060000 0.00914549
4.08800000 0.00748331
3.06400000 0.00593296
3.46780000 0.00674981
4.42400000 0.00606630
3.09000000 0.00804984
4.94240000 0.00527636
3.30180000 0.00528772
2.50780000 0.00774338
4.15260000 0.00772269
2.92580000 0.00464327
4.54880000 0.00640000
4.66500000 0.00714143
4.74600000 0.00626099
3.37260000 0.00660606
4.66220000 0.00558211
4.26540000 0.00583438
4.54480000 0.00530660
2.90340000 0.00443170
4.32540000 0.00635925
4.30060000 0.00424735
4.76140000 0.00525738
3.22180000 0.00464327
3.26780000 0.00804736
4.58040000 0.00307246
3.16840000 0.00668132
4.22100000 0.00453872
3.14820000 0.00774338
3.20200000 0.00558570
3.36440000 0.00618385
3.00200000 0.00481664
2.68760000 0.00757892
2.34620000 0.00650846
2.48200000 0.00586515
2.66480000 0.00652380
4.28240000 0.00463033
3.24300000 0.00534790
3.82960000 0.00708802
2.58160000 0.00445421
2.60300000 0.00549545
2.40720000 0.00515364
2.86920000 0.00620967
2.24640000 0.00720000
3.14720000 0.00795990
3.52040000 0.00332265
2.61900000 0.00306594
3.04440000 0.00549909
2.94400000 0.00505964
3.40460000 0.00740540
3.22780000 0.00784602
2.72740000 0.00695989
3.09960000 0.00436348
2.80920000 0.00749400
2.56040000 0.00520000
2.62980000 0.00742698
2.84400000 0.00505964
2.75200000 0.00737564
2.52440000 0.00578273
2.34420000 0.00513420
2.80240000 0.00463033
2.56240000 0.00512250
2.68940000 0.00718610
2.32500000 0.00736206
2.34800000 0.00704273
2.51480000 0.00938936
2.80320000 0.00574108
3.74160000 0.00557136
3.08360000 0.00520000
4.22260000 0.00555338
3.02060000 0.00424735
2.91120000 0.00627375
4.67960000 0.00355528
3.16440000 0.00680000
2.84680000 0.00670522
4.18520000 0.00670522
2.72320000 0.00411825
4.65900000 0.00279285
3.00460000 0.00555338
4.90300000 0.00435890
4.24080000 0.00391918
4.64060000 0.00385227
4.85340000 0.00931880
4.18920000 0.00727736
2.76520000 0.00738647
3.40460000 0.00596992
2.84080000 0.00466476
2.73520000 0.00699714
2.62200000 0.00497996
2.58140000 0.00424735
2.62000000 0.00379473
2.26860000 0.00672607
2.82220000 0.00572364
2.42040000 0.00355528
2.62060000 0.00405463
2.74140000 0.00494368
2.36060000 0.00443170
3.30720000 0.00627375
3.20880000 0.00676461
2.76160000 0.00366606
2.77120000 0.00733212
2.94260000 0.00610246
2.50620000 0.00686731
2.48140000 0.00555338
2.42220000 0.00389358
2.94640000 0.00697424
2.50240000 0.00512250
2.81100000 0.00808703
2.55960000 0.00280000
2.22460000 0.00623217
2.45960000 0.00377359
2.38940000 0.00635925
2.24760000 0.00643739
3.86440000 0.00564269
2.32720000 0.00499600
2.67520000 0.00627375
2.78200000 0.00481664
2.44040000 0.00454313
3.38620000 0.00599667
3.21040000 0.00803990
3.68660000 0.00648383
3.54740000 0.00684398
3.58700000 0.00714143
2.58520000 0.00567098
3.01340000 0.00623217
3.76700000 0.00503984
2.47180000 0.00625780
2.84440000 0.00656049
3.52180000 0.00543691
2.95720000 0.00646220
2.23660000 0.00569561
2.83600000 0.00565685
2.19420000 0.00638436
2.48280000 0.00491528
2.77500000 0.00778460
2.62440000 0.00618385
3.13240000 0.00520000
2.55600000 0.00715542
2.77760000 0.00542586
2.18260000 0.00460869
2.22320000 0.00530660
3.62340000 0.00341174
2.14400000 0.00521536
2.28300000 0.00503984
1.88260000 0.00443170
2.44160000 0.00496387
3.22340000 0.00443170
2.00500000 0.00534790
2.18360000 0.00397995
2.06900000 0.00702851
2.42840000 0.00680000
2.41000000 0.00572713
2.75340000 0.00672607
1.82540000 0.00610246
2.12160000 0.00496387
2.13640000 0.00591946
2.26260000 0.00540740
2.25440000 0.00674092
2.47220000 0.00599667
2.66160000 0.00407922
2.20300000 0.00487852
2.19000000 0.00698570
3.33660000 0.00684398
4.14260000 0.00494368
3.69860000 0.00290517
4.17580000 0.00650846
3.60860000 0.00596992
4.02960000 0.00662118
4.66320000 0.00574108
3.96680000 0.00620967
2.87140000 0.00555338
3.62380000 0.00543691
2.96900000 0.00643428
3.68980000 0.00599667
2.54100000 0.00519615
2.52280000 0.00523068
2.66940000 0.00635925
3.85900000 0.00655744
2.75700000 0.00519615
2.63240000 0.00591946
3.13700000 0.00604979
2.93160000 0.00564269
2.28800000 0.00521536
2.44720000 0.00640000
2.67280000 0.00545527
3.82300000 0.00453872
2.38280000 0.00581034
2.94540000 0.00290517
3.07700000 0.00577927
2.63160000 0.00643739
3.22140000 0.00477912
2.50100000 0.00376829
2.36400000 0.00379473
2.31280000 0.00744043
2.26000000 0.00379473
2.58540000 0.00510294
2.70880000 0.00722219
2.44840000 0.00643739
2.40520000 0.00538145
2.58560000 0.00542586
3.78220000 0.00528772
2.73440000 0.00571314
2.86180000 0.00428486
2.59000000 0.00572713
2.37020000 0.00650846
2.59560000 0.00656049
2.49380000 0.00446766
1.76520000 0.00491528
2.17700000 0.00618061
2.15200000 0.00536656
2.14360000 0.00549909
2.44480000 0.00587878
1.70000000 0.00357771
2.22840000 0.00643739
2.05460000 0.00635925
1.82300000 0.00397492
1.84380000 0.00543691
2.44440000 0.00605310
2.18360000 0.00471593
2.23140000 0.00555338
2.14720000 0.00515364
2.27140000 0.00635925
2.50140000 0.00477912
2.20200000 0.00497996
2.06460000 0.00555338
2.07940000 0.00385227
2.70520000 0.00457821
